asset_id,asset_name,travel_seconds,travel_time_str,stopped_seconds,stopped_time_str,proyecto,ec,fecha_procesamiento
281474996838340,2160,23589,6:33:09,46131,12:48:51,Walmart Full,EC-08,2026-02-20
281474996860691,2163,35022,9:43:42,27550,7:39:10,Walmart Full,EC-08,2026-02-20
281474996982187,DAÑADO PR9,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474996989088,1967,60231,16:43:51,20988,5:49:48,Sayer Sencillo,EC-04,2026-02-20
281474997127966,2153,22700,6:18:20,65298,18:08:18,Walmart Full,EC-08,2026-02-20
281474997136982,2157,48869,13:34:29,15250,4:14:10,Walmart Full,EC-08,2026-02-20
281474997150139,2161,23353,6:29:13,48612,13:30:12,Walmart Full,EC-08,2026-02-20
281474997174009,2156,25416,7:03:36,46701,12:58:21,Walmart Full,EC-08,2026-02-20
281474997179147,2159,18026,5:00:26,70254,19:30:54,Walmart Full,EC-08,2026-02-20
281474997193625,2158,19255,5:20:55,55397,15:23:17,Walmart Full,EC-08,2026-02-20
281474997198745,1796,0,0:00:00,99120,"1 day, 3:32:00",Mabe Loyalty,EC-10,2026-02-20
281474997198751,1794,40872,11:21:12,26200,7:16:40,Pilgrims Tepo,EC-02,2026-02-20
281474997213260,2155,10418,2:53:38,61446,17:04:06,Walmart Full,EC-08,2026-02-20
281474997219048,2154,32729,9:05:29,34348,9:32:28,Walmart Full,EC-08,2026-02-20
281474997254846,2167,18192,5:03:12,45332,12:35:32,Walmart Full,EC-08,2026-02-20
281474997258825,2166,22166,6:09:26,59302,16:28:22,Walmart Full,EC-08,2026-02-20
281474997270101,2162,20961,5:49:21,36373,10:06:13,Walmart Full,EC-08,2026-02-20
281474997281685,2165,24081,6:41:21,62788,17:26:28,Walmart Full,EC-08,2026-02-20
281474997281699,2171,35928,9:58:48,31328,8:42:08,Walmart Full,EC-08,2026-02-20
281474997281704,2169,25853,7:10:53,45483,12:38:03,Walmart Full,EC-08,2026-02-20
281474997281708,2164,19107,5:18:27,64517,17:55:17,Walmart Full,EC-08,2026-02-20
281474997281710,2170,23358,6:29:18,61015,16:56:55,Walmart Full,EC-08,2026-02-20
281474997281713,2168,33170,9:12:50,45516,12:38:36,Walmart Full,EC-08,2026-02-20
281474997418859,DAÑADO Y5P,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474997469586,307,0,0:00:00,99120,"1 day, 3:32:00",Sayer Thorton,EC-04,2026-02-20
281474997494983,1854,32663,9:04:23,57863,16:04:23,Pipas,EC-02,2026-02-20
281474997497313,2176,62164,17:16:04,21699,6:01:39,Sayer Vuelteros,EC-04,2026-02-20
281474997497319,2179,29008,8:03:28,46872,13:01:12,Walmart Full SC,EC-08,2026-02-20
281474997497329,2181,20659,5:44:19,78007,21:40:07,Sayer Full,EC-04,2026-02-20
281474997497332,2174,27564,7:39:24,58140,16:09:00,Sayer Sencillo,EC-04,2026-02-20
281474997497335,2178,55278,15:21:18,37715,10:28:35,Sayer Full,EC-04,2026-02-20
281474997497545,2175,3116,0:51:56,86135,23:55:35,Sayer Sencillo,EC-04,2026-02-20
281474997497548,2172,0,0:00:00,99120,"1 day, 3:32:00",Walmart Full,EC-08,2026-02-20
281474997497552,2173,28185,7:49:45,36502,10:08:22,Walmart Full SC,EC-08,2026-02-20
281474997497556,2196,0,0:00:00,99120,"1 day, 3:32:00",MeLi Dedicado TD,EC-05,2026-02-20
281474997497563,2177,173,0:02:53,98946,"1 day, 3:29:06",Sayer Full,EC-04,2026-02-20
281474997497833,1785,42428,11:47:08,43151,11:59:11,Conductores,EC-10,2026-02-20
281474997523344,1812,35377,9:49:37,62454,17:20:54,Patieros Sucursal,EC-03,2026-02-20
281474997527628,1899,43515,12:05:15,24336,6:45:36,Pilgrims Tepo,EC-02,2026-02-20
281474997544113,1808,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
